n	                    Xn	                   Vn1	                   Vn2	                  V^n1	                  V^n2	            En (norm2)	            S* (norm2)	                  Hn-1
10	2.0000000000000004e-02	9.9979493947232410e+00	9.9980510052500939e+00	9.9979787665161606e+00	9.9980216334571761e+00	7.1840747843477076e-05	4.1537987896883315e-05	2.0000000000000018e-03
11	2.2000000000000006e-02	9.9977833068944459e+00	9.9978171770700630e+00	9.9977930974920852e+00	9.9978073864724237e+00	2.3948647388428420e-05	1.3845995965209082e-05	2.0000000000000018e-03
12	2.4000000000000007e-02	9.9975946429476927e+00	9.9976059330062323e+00	9.9975979064802374e+00	9.9976026694736859e+00	7.9831167888509947e-06	4.6153319871469532e-06	2.0000000000000018e-03
13	2.6000000000000009e-02	9.9973984562942881e+00	9.9974022196471335e+00	9.9973995441384691e+00	9.9974011318029508e+00	2.6610706421351329e-06	1.5384439957156509e-06	2.0000000000000018e-03
14	2.8000000000000011e-02	9.9971997647379425e+00	9.9972010191888909e+00	9.9972001273526718e+00	9.9972006565741651e+00	8.8702783812704871e-07	5.1281466565724169e-07	2.0000000000000018e-03
15	3.0000000000000013e-02	9.9970002408798457e+00	9.9970006590301619e+00	9.9970003617514216e+00	9.9970005381585860e+00	2.9567652718590495e-07	1.7093822188574722e-07	2.0000000000000018e-03
16	3.2000000000000015e-02	9.9968004422536723e+00	9.9968005816371104e+00	9.9968004825441970e+00	9.9968005413465857e+00	9.8558921527961572e-08	5.6979406457866433e-08	2.0000000000000018e-03
17	3.4000000000000016e-02	9.9966005547039263e+00	9.9966006011650705e+00	9.9966005681341006e+00	9.9966005877348980e+00	3.2852982635171648e-08	1.8993133392498907e-08	2.0000000000000018e-03
18	3.6000000000000018e-02	9.9964006401787238e+00	9.9964006556657701e+00	9.9964006446554468e+00	9.9964006511890453e+00	1.0950995467797842e-08	6.3310436267837687e-09	2.0000000000000018e-03
19	3.8000000000000020e-02	9.9962007193273816e+00	9.9962007244897286e+00	9.9962007208196226e+00	9.9962007229974894e+00	3.6503305665255296e-09	2.1103462008296327e-09	2.0000000000000018e-03
20	4.0000000000000022e-02	9.9960007990329522e+00	9.9960008007537340e+00	9.9960007995303659e+00	9.9960008002563221e+00	1.2167764368197088e-09	7.0344789622822964e-10	2.0000000000000018e-03
21	4.2000000000000023e-02	9.9958008815897355e+00	9.9958008821633300e+00	9.9958008817555406e+00	9.9958008819975248e+00	4.0559256429897249e-10	2.3448388814966972e-10	2.0000000000000018e-03
22	4.4000000000000025e-02	9.9956009677624440e+00	9.9956009679536404e+00	9.9956009678177118e+00	9.9956009678983744e+00	1.3519626535837555e-10	7.8159202603371320e-11	2.0000000000000018e-03
23	4.6000000000000027e-02	9.9954010578059265e+00	9.9954010578696586e+00	9.9954010578243473e+00	9.9954010578512360e+00	4.5065421786125182e-11	2.6052230178728118e-11	2.0000000000000018e-03
24	4.8000000000000029e-02	9.9952011518050803e+00	9.9952011518263255e+00	9.9952011518112212e+00	9.9952011518201829e+00	1.5022644644686360e-11	8.6857515722610551e-12	2.0000000000000018e-03
25	5.0000000000000031e-02	9.9950012497881531e+00	9.9950012497952336e+00	9.9950012497901994e+00	9.9950012497931873e+00	5.0067108322508215e-12	2.8939944198459341e-12	2.0000000000000018e-03
26	5.2000000000000032e-02	9.9948013517645045e+00	9.9948013517668652e+00	9.9948013517651866e+00	9.9948013517661813e+00	1.6693227746360920e-12	9.6592169727499964e-13	2.0000000000000018e-03
27	5.4000000000000034e-02	9.9946014577372040e+00	9.9946014577379891e+00	9.9946014577374314e+00	9.9946014577377618e+00	5.5519037695410150e-13	3.2155493553843715e-13	2.0000000000000018e-03
28	5.6000000000000036e-02	9.9944015677072180e+00	9.9944015677074809e+00	9.9944015677072926e+00	9.9944015677074045e+00	1.8591592030583032e-13	1.0677367560524487e-13	2.0000000000000018e-03
29	5.8000000000000038e-02	9.9942016816748183e+00	9.9942016816749053e+00	9.9942016816748449e+00	9.9942016816748804e+00	6.1560440127420639e-14	3.6447795055286734e-14	2.0000000000000018e-03
30	6.0000000000000039e-02	9.9940017996400421e+00	9.9940017996400687e+00	9.9940017996400492e+00	9.9940017996400616e+00	1.8882932218273130e-14	1.0048591735576161e-14	2.0000000000000018e-03
31	6.2000000000000041e-02	9.9938019216028451e+00	9.9938019216028557e+00	9.9938019216028486e+00	9.9938019216028522e+00	7.9441092903912740e-15	5.0242958677880805e-15	2.0000000000000018e-03
32	6.4000000000000043e-02	9.9936020475631633e+00	9.9936020475631668e+00	9.9936020475631651e+00	9.9936020475631668e+00	3.5527136788005009e-15	1.7763568394002505e-15	2.0000000000000018e-03
33	6.6000000000000045e-02	9.9934021775209203e+00	9.9934021775209221e+00	9.9934021775209221e+00	9.9934021775209221e+00	3.9720546451956370e-15	1.7763568394002505e-15	2.0000000000000018e-03
34	6.8000000000000047e-02	9.9932023114760380e+00	9.9932023114760398e+00	9.9932023114760380e+00	9.9932023114760380e+00	3.9720546451956370e-15	1.7763568394002505e-15	2.0000000000000018e-03
35	7.0000000000000048e-02	9.9930024494284364e+00	9.9930024494284364e+00	9.9930024494284364e+00	9.9930024494284364e+00	5.0242958677880805e-15	0.0000000000000000e+00	2.0000000000000018e-03
36	7.2000000000000050e-02	9.9928025913780356e+00	9.9928025913780356e+00	9.9928025913780356e+00	9.9928025913780356e+00	5.0242958677880805e-15	0.0000000000000000e+00	2.0000000000000018e-03
